Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-12-19,45449.946067554,45899.930095983,45240.078256651,45429.988355967,460700.19401295
2017-12-20,45370.115221207,45670.104573493,45129.999003681,45240.078256651,299599.88017941
2017-12-21,45240.078256651,45319.909102997,44510.062587522,44599.872289662,400099.09780249
2017-12-22,44510.062587522,45210.141689271,44510.062587522,44960.046615952,454601.5388905
2017-12-25,44630.120696286,44920.131192778,44569.935722282,44650.078407872,198899.91809811
2017-12-26,44770.136516635,44800.073084015,44459.856469312,44599.872289662,274101.16516934
2017-12-27,44760.157660842,45410.030644381,44559.956866489,45370.115221207,402799.20696912
2017-12-28,45230.099400858,45370.115221207,44879.903930362,44989.983183331,355099.30931957
2017-12-29,45070.125868921,45240.078256651,44760.157660842,44910.152336985,355898.43901592
2018-01-04,45579.98303211,46629.945765111,45510.131041557,46440.035665795,997901.6639049
2018-01-05,46730.046162288,47099.887505127,46169.982880889,46840.125415258,731099.77247083
2018-01-09,47870.130436672,47959.940138812,47269.839892857,47389.89800162,734500.88385103
2018-01-10,47420.146408243,47489.998398796,46799.898152841,46799.898152841,464699.36995322
2018-01-11,46990.120091401,47219.94561389,46540.136062972,46799.898152841,525900.13411399
2018-01-12,48000.167401229,50149.987146198,47789.987751082,49609.881576385,2040998.7299022
2018-01-15,50149.987146198,50260.066399167,49340.140630723,49540.029585832,809500.42442988
2018-01-16,49579.945009005,51110.140177059,49400.013765482,50939.875950086,831600.59348414
2018-01-17,50059.865604814,50560.055751453,49690.024261975,50380.124507931,1085798.23423
2018-01-18,51199.949879199,51580.081917075,50309.960678134,50550.07689566,1268399.0491675
2018-01-19,50720.02928339,50850.066247946,50240.108687581,50299.981822341,608801.50248084
2018-01-22,49999.992470055,50120.050578818,49569.966153212,49919.849784465,465099.25547944
2018-01-23,50349.876101307,50990.082068296,49840.018938118,50850.066247946,736900.51768641
2018-01-24,50840.087392153,51120.119032852,50280.024110754,50570.034607247,527397.37992147
2018-01-25,49950.098191088,50130.029434611,49259.997945133,49319.871079893,677498.43669853
2018-01-26,49779.833964115,50070.156299851,49269.976800926,49510.093018452,686401.10067526
2018-01-29,49719.960829355,50070.156299851,49159.897547956,49439.929188656,586599.67848527
2018-01-30,49100.024413196,49319.871079893,48210.035212132,48330.093320895,741699.78535718
2018-01-31,48330.093320895,49329.849935686,48099.955959162,48689.955807941,796799.00829306
2018-02-01,49019.881727607,49619.860432179,48709.913519527,49589.923864799,508299.39875533
2018-02-02,48960.008592847,49080.06670161,48419.903023034,48620.103817387,646599.50335518
2018-02-05,46619.966909318,47290.109443687,46349.914124412,46540.136062972,1194300.9345824
2018-02-06,44269.946369996,45159.935571061,42580.08950925,43999.89358509,2175199.9276887
2018-02-07,45349.845670377,45510.131041557,43239.941348582,43379.957168931,1485700.7563889
2018-02-08,43369.978313138,43610.094530664,42329.99443593,43069.988960852,1202501.3136334
2018-02-09,41219.846728926,41919.925830674,41049.894341196,41479.920658039,1665700.5516767
2018-02-13,42000.068516264,42140.084336614,41009.978918023,41019.957773816,1009499.6268775
2018-02-14,41120.058170993,41400.089811692,40449.915636624,40980.042350643,1052201.4364664
2018-02-15,41499.878369625,42189.978615581,41299.989414516,41840.094984328,971699.70193491
2018-02-16,41840.094984328,42829.872743326,41520.147920455,42600.047220836,883900.61773647
2018-02-19,43000.136970299,43780.046918394,42839.851599119,43669.967665424,776200.89521701
2018-02-20,43350.020601551,43399.914880518,42610.02607663,42710.126473806,634899.24408513
2018-02-21,42560.131797663,43600.115674871,42259.830606134,42939.951996296,884301.46529684
2018-02-22,42239.872894547,42529.88339104,41960.153093091,42329.99443593,769999.94379715
2018-02-23,42440.0736889,42720.1053296,42079.899362611,42679.878067183,572898.70887192
2018-02-26,43209.851162541,43520.101216887,42980.03630747,43330.038120531,569700.37885343
2018-02-27,43920.103288956,44220.104843008,43570.101475895,43670.101993913,794998.74776889
2018-02-28,43339.976060209,43449.914517905,42570.096295722,42570.096295722,737299.86665908
2018-03-01,42089.969584993,42470.095777705,41880.03060928,42080.031645314,780900.05080258
2018-03-02,40599.899754412,41370.090079514,40420.08515835,40980.025947124,1286199.7972624
2018-03-05,41349.903639542,41960.15524794,41170.08904348,41920.09292861,967100.41625246
2018-03-06,42830.035530444,43220.099662835,42549.90985575,43099.912704845,764898.98769085
2018-03-07,42689.972693097,43089.974765166,42220.094482662,42470.095777705,882000.12108671
2018-03-08,43039.974506158,43220.099662835,41980.031127297,42170.094223653,806100.28426101
2018-03-09,42539.971916071,43639.977614261,42239.970362019,42399.909078724,1587800.8229169
2018-03-12,43639.977614261,43959.855047671,42609.848054437,43009.850126506,778600.33871548
2018-03-13,42820.097590765,43189.975283183,42359.846759394,43170.099403826,523200.92172867
2018-03-14,42599.910114758,42749.910891784,41949.906747646,42059.845205342,639500.6012762
2018-03-15,41999.907006655,42280.032681349,41589.966994907,42189.97010301,518697.13105908
2018-03-16,42480.033717384,42480.033717384,41949.906747646,42030.031386306,496398.10257191
2018-03-19,41389.965958872,41939.968807967,41339.965699863,41749.905711611,622500.69933863
2018-03-20,41660.153693888,41960.15524794,41299.903380533,41789.968030941,611200.16787734
2018-03-22,41599.904934585,42320.095000679,41580.029055228,42320.095000679,642299.08877955
2018-03-23,40920.087748437,41180.026983159,39339.955339517,39660.143333541,1649101.2553701
2018-03-26,39389.955598526,40189.959742664,38899.890948118,40170.083863307,898599.77909761
